,Date,Type,Title,Amount,Note,Category,Subcategory,Account,Tags
2443,19-03-2022,1,,50.68,,Jedzenie,,Konto osobiste,
2444,19-03-2022,1,,90.2,,Restauracja,Jedzenie,Konto osobiste,
2445,20-03-2022,1,,61.0,,Restauracja,Jedzenie,Konto osobiste,
2446,20-03-2022,1,,59.99,,Gry,Rozrywka,Konto osobiste,
2447,22-03-2022,1,,16.67,,Jedzenie,,Konto osobiste,
2448,23-03-2022,1,,7.86,,Leki,Zdrowie i uroda,Konto osobiste,
2449,23-03-2022,1,,59.41,,Jedzenie,,Konto osobiste,
2450,24-03-2022,1,,23.21,,Jedzenie,,Konto osobiste,
2451,25-03-2022,1,,49.11,,Jedzenie,,Konto osobiste,
2452,26-03-2022,1,,2.56,,Jedzenie,,Konto osobiste,
2453,27-03-2022,1,,60.0,,Restauracja,Jedzenie,Konto osobiste,
2454,27-03-2022,1,,110.38,,Telefony,Rodzice,Konto osobiste,
2455,28-03-2022,1,HBO,24.9,,"Netflix, itp.",Rozrywka,Konto osobiste,
2456,28-03-2022,1,Rata za telefon ,79.0,,Telefon,Elektronika,Konto osobiste,
2457,28-03-2022,1,,27.58,,Jedzenie,,Konto osobiste,
2458,29-03-2022,1,,32.0,,Restauracja,Jedzenie,Konto osobiste,
2459,30-03-2022,0,,4807.01,,Wyp�ata,Praca,Konto osobiste,
2460,30-03-2022,0,,200.0,,Rodzice,,Konto osobiste,
2461,30-03-2022,1,,93.17,,Jedzenie,,Konto osobiste,
2462,31-03-2022,1,,360.0,,Stomatolog,Zdrowie i uroda,Konto osobiste,
2463,31-03-2022,1,,8.72,,Jedzenie,,Konto osobiste,
2464,31-03-2022,1,,21.3,,Jedzenie,,Konto osobiste,
2465,01-04-2022,1,,198.0,,Paliwo,Samoch�d,Konto osobiste,
2466,03-04-2022,1,,36.0,,Restauracja,Jedzenie,Konto osobiste,
2467,04-04-2022,1,,79.4,,Jedzenie,,Konto osobiste,
2468,04-04-2022,1,,13.99,,�rodki czysto�ci,Dom,Konto osobiste,
2469,05-04-2022,1,,71.0,,Telefony,Rodzice,Konto osobiste,
2470,05-04-2022,1,,8.56,,Taxi/bolt,Samoch�d,Konto osobiste,
2471,05-04-2022,1,,1640.0,,Wesele + �lub,,Konto osobiste,
2472,05-04-2022,1,,13.03,,Jedzenie,,Konto osobiste,
2473,05-04-2022,1,,70.0,,Naprawy,Samoch�d,Konto osobiste,
2474,05-04-2022,1,,158.99,,Naprawy,Samoch�d,Konto osobiste,
2475,06-04-2022,1,,39.99,,Zdrowie i uroda,,Konto osobiste,
2476,06-04-2022,1,,63.23,,Jedzenie,,Konto osobiste,
2477,08-04-2022,1,,70.0,,Fryzjer,Zdrowie i uroda,Konto osobiste,
2478,08-04-2022,1,,48.25,,Jedzenie,,Konto osobiste,
2479,09-04-2022,1,Lokata,1000.0,,,,Konto oszcz�dno�ciowe ,
2480,11-04-2022,1,Game pass,54.99,,Gry,Rozrywka,Konto osobiste,
