Data operacji;Typ;Tytul;Kwota;Notatka;Nazwa kategorii;Nazwa kategorii;Nazwa konta;Tagi
31-05-2018;1;;120.00;;Telefon;Dom;Konto osobiste;
31-05-2018;1;;36.00;;Telefon;Dom;Konto osobiste;
01-06-2018;0;;200.00;;Premia;Praca;Konto osobiste;
04-06-2018;1;;33.82;;Jedzenie;;Konto osobiste;
04-06-2018;1;;3.00;;Jedzenie;;Konto osobiste;
04-06-2018;1;;2.50;;Jedzenie;;Konto osobiste;
05-06-2018;1;;10.00;;Jedzenie;;Konto osobiste;
05-06-2018;1;;11.27;;Jedzenie;;Konto osobiste;
06-06-2018;1;;37.48;;Jedzenie;;Konto osobiste;
06-06-2018;1;;3.20;;Jedzenie;;Konto osobiste;
07-06-2018;1;;3.50;;Restauracja;Jedzenie;Konto osobiste;
07-06-2018;1;;7.50;;Restauracja;Jedzenie;Konto osobiste;
08-06-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
08-06-2018;1;;5.18;;Jedzenie;;Konto osobiste;
10-06-2018;1;;30.00;;Restauracja;Jedzenie;Konto osobiste;
10-06-2018;0;;1350.00;;Wyp�ata;Praca;Konto osobiste;
11-06-2018;1;;17.03;;Jedzenie;;Konto osobiste;
11-06-2018;1;;14.25;;Supermarket;Jedzenie;Konto osobiste;
11-06-2018;1;;5.49;;Jedzenie;;Konto osobiste;
12-06-2018;1;;4.50;;Jedzenie;;Konto osobiste;
13-06-2018;1;;5.00;;Jedzenie;;Konto osobiste;
14-06-2018;1;;32.00;;Gry;Rozrywka;Konto osobiste;
14-06-2018;1;;4.50;;Jedzenie;;Konto osobiste;
14-06-2018;1;;17.27;;Supermarket;Jedzenie;Konto osobiste;
14-06-2018;1;;3.40;;Jedzenie;;Konto osobiste;
15-06-2018;1;;16.00;;Autobus;Samoch�d;Konto osobiste;
18-06-2018;1;;20.00;;Supermarket;Jedzenie;Konto osobiste;
18-06-2018;1;;4.50;;Jedzenie;;Konto osobiste;
18-06-2018;1;;3.00;;Jedzenie;;Konto osobiste;
19-06-2018;1;;4.50;;Jedzenie;;Konto osobiste;
19-06-2018;1;;473.00;;Czynsz;Dom;Konto osobiste;
20-06-2018;1;;1.80;;Jedzenie;;Konto osobiste;
20-06-2018;1;;4.50;;Jedzenie;;Konto osobiste;
20-06-2018;1;;44.66;;Jedzenie;;Konto osobiste;
21-06-2018;1;;8.48;;Jedzenie;;Konto osobiste;
21-06-2018;1;;38.80;;Odzie�;;Konto osobiste;
21-06-2018;1;;30.22;;Jedzenie;;Konto osobiste;
22-06-2018;1;;55.90;;Gry;Rozrywka;Konto osobiste;
22-06-2018;1;;16.94;;Supermarket;Jedzenie;Konto osobiste;
23-06-2018;1;;17.61;;Jedzenie;;Konto osobiste;
23-06-2018;1;;52.58;;Zdrowie i uroda;;Konto osobiste;
26-06-2018;1;;21.00;;Jedzenie;;Konto osobiste;
26-06-2018;1;;17.54;;Jedzenie;;Konto osobiste;
28-06-2018;1;;10.44;;Jedzenie;;Konto osobiste;
29-06-2018;1;;16.00;;Autobus;Samoch�d;Konto osobiste;
29-06-2018;1;;30.00;;Telefon;Dom;Konto osobiste;
03-07-2018;1;;20.21;;Jedzenie;;Konto osobiste;
04-07-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
04-07-2018;1;;4.50;;Jedzenie;;Konto osobiste;
04-07-2018;1;;8.17;;Jedzenie;;Konto osobiste;
04-07-2018;1;;6.40;;Autobus;Samoch�d;Konto osobiste;
05-07-2018;1;;16.00;;Autobus;Samoch�d;Konto osobiste;
06-07-2018;1;;8.58;;Jedzenie;;Konto osobiste;
08-07-2018;1;;2.80;;Jedzenie;;Konto osobiste;
10-07-2018;1;;4.50;;Restauracja;Jedzenie;Konto osobiste;
10-07-2018;1;;23.00;;Autobus;Samoch�d;Konto osobiste;
10-07-2018;1;;25.90;;Jedzenie;;Konto osobiste;
10-07-2018;1;;2.56;;Jedzenie;;Konto osobiste;
11-07-2018;1;;7.83;;Jedzenie;;Konto osobiste;
21-07-2018;0;;435.00;;Wyp�ata;Praca;Konto osobiste;
22-07-2018;1;;457.00;;Czynsz;Dom;Konto osobiste;
04-08-2018;0;;30.00;;;;Konto osobiste;
04-08-2018;0;;100.00;;;;Konto osobiste;
04-08-2018;0;;602.00;;Wyp�ata;Praca;Konto osobiste;
04-08-2018;1;;101.58;;Jedzenie;;Konto osobiste;
14-08-2018;1;;8.57;;Jedzenie;;Konto osobiste;
15-08-2018;1;;6.50;;Jedzenie;;Konto osobiste;
16-08-2018;1;;20.00;;Gry;Rozrywka;Konto osobiste;
19-08-2018;1;;450.00;;Czynsz;Dom;Konto osobiste;
19-08-2018;1;;7.00;;Restauracja;Jedzenie;Konto osobiste;
19-08-2018;1;;4.80;;Autobus;Samoch�d;Konto osobiste;
20-08-2018;1;;2.70;;Jedzenie;;Konto osobiste;
20-08-2018;1;;120.00;;Autobus;Samoch�d;Konto osobiste;
20-08-2018;1;;2.60;;Jedzenie;;Konto osobiste;
20-08-2018;1;;8.19;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
20-08-2018;1;;14.55;;Jedzenie;;Konto osobiste;
21-08-2018;1;;9.67;;Jedzenie;;Konto osobiste;
22-08-2018;1;;13.34;;Jedzenie;;Konto osobiste;
22-08-2018;1;;3.00;;Jedzenie;;Konto osobiste;
23-08-2018;1;;10.01;;Jedzenie;;Konto osobiste;
24-08-2018;1;;5.00;;Restauracja;Jedzenie;Konto osobiste;
24-08-2018;1;;10.00;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
24-08-2018;1;;5.48;;Jedzenie;;Konto osobiste;
25-08-2018;1;;29.50;;Odzie�;;Konto osobiste;
27-08-2018;1;;4.50;;Jedzenie;;Konto osobiste;
27-08-2018;1;;13.35;;Jedzenie;;Konto osobiste;
28-08-2018;1;;5.97;;Jedzenie;;Konto osobiste;
29-08-2018;1;;15.18;;Jedzenie;;Konto osobiste;
30-08-2018;1;;20.15;;Jedzenie;;Konto osobiste;
01-09-2018;1;;36.80;;Jedzenie;;Konto osobiste;
02-09-2018;1;;28.00;;Restauracja;Jedzenie;Konto osobiste;
02-09-2018;1;;19.85;;Jedzenie;;Konto osobiste;
03-09-2018;1;;2.80;;Jedzenie;;Konto osobiste;
03-09-2018;1;;18.03;;Jedzenie;;Konto osobiste;
04-09-2018;1;;16.51;;Jedzenie;;Konto osobiste;
05-09-2018;1;;13.49;;Jedzenie;;Konto osobiste;
06-09-2018;1;;22.63;;Supermarket;Jedzenie;Konto osobiste;
06-09-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
06-09-2018;1;;4.97;;Jedzenie;;Konto osobiste;
12-09-2018;1;;16.00;;Autobus;Samoch�d;Konto osobiste;
12-09-2018;1;;14.55;;Jedzenie;;Konto osobiste;
13-09-2018;1;;59.00;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
13-09-2018;1;;8.70;;Jedzenie;;Konto osobiste;
14-09-2018;1;;20.00;;Restauracja;Jedzenie;Konto osobiste;
14-09-2018;1;;10.11;;Jedzenie;;Konto osobiste;
14-09-2018;1;;15.00;;Jedzenie;;Konto osobiste;
15-09-2018;1;;21.46;;Jedzenie;;Konto osobiste;
15-09-2018;1;;7.60;;Jedzenie;;Konto osobiste;
15-09-2018;1;;4.28;;Supermarket;Jedzenie;Konto osobiste;
16-09-2018;1;;3.48;;Jedzenie;;Konto osobiste;
17-09-2018;1;;28.03;;Jedzenie;;Konto osobiste;
17-09-2018;1;;5.58;;Jedzenie;;Konto osobiste;
18-09-2018;1;;27.00;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
18-09-2018;1;;16.25;;Jedzenie;;Konto osobiste;
19-09-2018;1;;14.66;;Supermarket;Jedzenie;Konto osobiste;
20-09-2018;1;;13.25;;Jedzenie;;Konto osobiste;
21-09-2018;1;;20.00;;Autobus;Samoch�d;Konto osobiste;
27-09-2018;0;;300.00;;;;Konto osobiste;
29-09-2018;1;;36.00;;Telefon;Dom;Konto osobiste;
30-09-2018;1;;18.48;;Jedzenie;;Konto osobiste;
01-10-2018;1;;12.22;;Jedzenie;;Konto osobiste;
02-10-2018;1;;13.05;;Restauracja;Jedzenie;Konto osobiste;
03-10-2018;1;;2.28;;Jedzenie;;Konto osobiste;
03-10-2018;1;;5.42;;Leki;Zdrowie i uroda;Konto osobiste;
03-10-2018;1;;7.57;;Jedzenie;;Konto osobiste;
04-10-2018;1;;3.78;;Jedzenie;;Konto osobiste;
05-10-2018;1;;1.00;;Jedzenie;;Konto osobiste;
06-10-2018;1;;19.45;;Jedzenie;;Konto osobiste;
07-10-2018;1;;9.76;;Jedzenie;;Konto osobiste;
08-10-2018;1;;9.67;;Jedzenie;;Konto osobiste;
08-10-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
09-10-2018;1;;11.25;;Restauracja;Jedzenie;Konto osobiste;
11-10-2018;1;;10.98;;Jedzenie;;Konto osobiste;
11-10-2018;1;;35.98;;Zdrowie i uroda;;Konto osobiste;
12-10-2018;1;;8.98;;Jedzenie;;Konto osobiste;
12-10-2018;1;;3.50;;Jedzenie;;Konto osobiste;
12-10-2018;1;;11.20;;Kino i teatr;Rozrywka;Konto osobiste;
15-10-2018;1;;26.10;;Jedzenie;;Konto osobiste;
16-10-2018;1;;4.38;;Jedzenie;;Konto osobiste;
16-10-2018;1;;10.24;;Jedzenie;;Konto osobiste;
17-10-2018;1;;23.84;;Jedzenie;;Konto osobiste;
18-10-2018;1;;33.80;;Leki;Zdrowie i uroda;Konto osobiste;
18-10-2018;1;;2.09;;Jedzenie;;Konto osobiste;
19-10-2018;1;;5.50;;Jedzenie;;Konto osobiste;
21-10-2018;0;;100.00;;Rodzice;;Konto osobiste;
22-10-2018;1;;5.54;;Jedzenie;;Konto osobiste;
24-10-2018;1;;15.00;;Jedzenie;;Konto osobiste;
25-10-2018;1;;22.08;;Jedzenie;;Konto osobiste;
26-10-2018;1;;12.37;;Jedzenie;;Konto osobiste;
26-10-2018;1;;4.48;;Jedzenie;;Konto osobiste;
27-10-2018;1;;32.00;;Restauracja;Jedzenie;Konto osobiste;
27-10-2018;0;;500.00;;Rodzice;;Konto osobiste;
27-10-2018;1;;11.24;;Jedzenie;;Konto osobiste;
27-10-2018;1;;30.00;;Odzie�;;Konto osobiste;
28-10-2018;1;;143.00;;Telefon;Dom;Konto osobiste;
05-11-2018;1;;8.06;;Jedzenie;;Konto osobiste;
05-11-2018;1;;9.00;;Restauracja;Jedzenie;Konto osobiste;
06-11-2018;1;;7.67;;Jedzenie;;Konto osobiste;
07-11-2018;1;;15.87;;Jedzenie;;Konto osobiste;
08-11-2018;1;;17.00;;Zabawki;Dzieci;Konto osobiste;
08-11-2018;1;;13.95;;Jedzenie;;Konto osobiste;
08-11-2018;1;;12.71;;Jedzenie;;Konto osobiste;
09-11-2018;1;;9.00;;Restauracja;Jedzenie;Konto osobiste;
09-11-2018;1;;20.26;;Jedzenie;;Konto osobiste;
13-11-2018;1;;9.47;;Jedzenie;;Konto osobiste;
15-11-2018;1;;14.65;;Jedzenie;;Konto osobiste;
15-11-2018;1;;30.00;;Telefon;Elektronika;Konto osobiste;
15-11-2018;1;;14.12;;Restauracja;Jedzenie;Konto osobiste;
16-11-2018;1;;32.00;;Restauracja;Jedzenie;Konto osobiste;
17-11-2018;1;;39.55;;Jedzenie;;Konto osobiste;
19-11-2018;1;;27.66;;Jedzenie;;Konto osobiste;
20-11-2018;0;;1500.00;;Wyp�ata;Praca;Konto osobiste;
20-11-2018;1;;22.06;;Jedzenie;;Konto osobiste;
